,threshold,is_t0,score,chi2,n_iter,time
0,5.0,1.0,0.9999981560576153,0.0784534228790707,96.0,4109.977102025878
1,3.0,1.0,0.9999991669363718,0.05886114867405251,114.0,4582.899519775063
2,4.0,1.0,0.9999988891407764,0.06292903947299792,115.0,4697.130165096838
3,6.0,1.0,0.9999979540187837,0.0810014156461811,147.0,5640.587375734001
4,7.0,1.0,0.9999978615922298,0.0817825875709189,210.0,6628.259264979977
5,5.0,0.0,0.9999529196856918,0.006542880063942588,339.0,17496.692500751
6,7.0,0.0,0.9999470104210909,0.008671924505050983,428.0,18399.22141237324
7,6.0,0.0,0.9999444357928515,0.008162024373337323,379.0,18411.832414988894
8,4.0,0.0,0.9999441014766006,0.006369757533309865,405.0,18887.02950768033
9,3.0,0.0,0.999971441929972,0.004075265359778416,513.0,19701.67875677813
