,threshold,value,score,rms_sigma,rms_width,n_weights,n_iter,time
0,7.0,bgm,2.707360565506997,0.17946226674596127,0.16991316435236628,200.0,199.0,3228.397925402969
1,6.0,bgm,2.6730117189875333,0.16253829441729634,0.18938486654308498,200.0,199.0,3476.835740318056
2,4.0,bgm,2.5233886383241817,0.1761543568303766,0.16291699822787545,199.0,199.0,3531.037572558038
3,3.0,bgm,2.2810837086621154,0.17165367699163264,0.20168501682578846,200.0,199.0,3616.9759064037353
4,5.0,bgm,2.7037720892051382,0.17413086923391977,0.16502990896154313,200.0,199.0,3692.484155842103
